Host Name,Filesystem,Size,Used,Available,Use%,Mounted On,IP
arena-america1,/dev/sda,28T,19T,9.0T,68%,/Arena11,192.168.0.15
Arena-America2,/dev/md0,18.9T,13.8T,5.1T,73%,/share/MD0_DATA,192.168.0.16
Arena-America3,/dev/md0,18.9T,10.7T,8.2T,57%,/share/MD0_DATA,192.168.0.9
arena-mea1,/dev/sdb1,21T,15T,5.9T,72%,/Arena8,192.168.0.19
Arena-MEA2,/dev/md0,18.9T,12.8T,6.2T,67%,/share/MD0_DATA,192.168.0.12
Arena-MEA3,/dev/md0,18.9T,9.1T,9.8T,48%,/share/MD0_DATA,192.168.0.6
arena-imagery1.computamaps.com,/dev/sda1,2.0T,1.4T,556G,71%,/arena3/raid1.0,192.168.0.205
arena-imagery1.computamaps.com,/dev/sdb1,2.0T,1.9T,34G,99%,/arena3/raid1.1,192.168.0.205
arena-imagery1.computamaps.com,/dev/sdc1,2.0T,1.7T,224G,89%,/arena3/raid1.2,192.168.0.205
arena-imagery1.computamaps.com,/dev/sdd1,823G,765G,17G,98%,/arena3/raid1.3,192.168.0.205
Arena-Imagery2,/dev/md0,18.9T,11.1T,7.9T,58%,/share/MD0_DATA,192.168.0.204
Arena-Africa1,/dev/md0,18.9T,9.4T,9.6T,49%,/share/MD0_DATA,192.168.0.17
Arena-Africa2,/dev/md0,18.9T,11.4T,7.6T,60%,/share/MD0_DATA,192.168.0.11
Arena1.computamaps.com,/dev/sde,1.9T,593G,1.3T,33%,/Arena1/RAID11-2TB,192.168.0.203
Arena1.computamaps.com,/dev/sdd,7.6T,6.3T,887G,88%,/Arena1/RAID11-8TB,192.168.0.203
Arena1.computamaps.com,/dev/sdc,1.9T,669G,1.2T,37%,/Arena1/RAID12-2TB,192.168.0.203
Arena1.computamaps.com,/dev/sdb,7.6T,4.1T,3.2T,57%,/Arena1/RAID12-8TB,192.168.0.203
archive-server.computamaps.com,/dev/sdb,41T,15T,26T,37%,/Archive,192.168.0.20
BrightEarth,/dev/md0,18.9T,15.6T,3.4T,82%,/share/MD0_DATA,192.168.0.7
Arena-current,/dev/md0,18.9T,4.1T,14.9T,21%,/share/MD0_DATA,192.168.0.14
Arena-Europe,/dev/md0,18.9T,8.2T,10.7T,43%,/share/MD0_DATA,192.168.0.10


DONE